Key,Description,Standard,ENG
MENU.MainChart.121,,Thief,
MENU.MainChart.124,,Ending,
MENU.MainChart.178,,BE,
MENU.MainChart.179,,HE,
SAY.MainChart.151.,,几天后...,Several days past.
SAY.MainChart.153.,,据报道，一名女子涉嫌与情夫杀害丈夫，现已失踪。,According to reports
SAY.MainChart.208.,,小偷在守卫发现他之前从窗户溜走了。,The thief slipped through the window before the guard found him
SAY.MainChart.209.,,可怜的护士，等待她的是更可怕的明天和无止的暴打。,Poor nurse. What awaits her is a more terrifying tomorrow and endless beatings
SAY.MainChart.210.,,老板找不到宝石，他将图书馆拆得一干二净。所有的物品被卖到了二手市场。,The boss couldn't find the gems
SAY.MainChart.250.,,直到有一天，一个古董商人发现了它，他用沾染着钞票气息的手指沉醉地摩挲着宝石。,Until one day
SAY.MainChart.203.,,小偷在守卫发现他之前从窗户溜走了。,The thief slipped through the window before the guard found him
SAY.MainChart.204.,,护士趁着守卫们争抢着宝石，摸黑逃出了图书馆。, When the guards scrambled for gems
SAY.MainChart.207.,,其中一个幸运的家伙抢到了，他用它在还清了高利贷，过上了平静的生活。,...
SAY.MainChart.138.,,我們在一趟尚未完成，也不會完成的旅行中。,We are on a journey that has not yet been completed and will not be completed.
SAY.MainChart.139.,,進退不得，未來亦不可知,Can’t advance or retreat
SAY.MainChart.272.,,在守卫发现他之前,Before the guard found him
SAY.MainChart.269.,,小偷从窗户溜走了。,The thief slipped through the window
SAY.MainChart.274.小偷,,今天真是不走运。,Really unlucky today
SAY.MainChart.228.,,护士发现地上的宝石，她摘了下来，放进了口袋。,The nurse found the gem on the ground. She picked it off and put it in her pocket
SAY.MainChart.231.,,逃出图书馆后，她将宝石送给了珠宝博物馆。{w=1s}这是另外的故事了。,She gave the gems to the Jewelry Museum after escaping from the library. {w=1s}This is another story
SAY.MainChart.236.,,小偷在守卫发现他之前从窗户溜走了。,The thief slipped through the window before the guard found him
SAY.MainChart.242.,,护士趁着着火时的一片混乱，摸黑逃出了图书馆。,The nurse took advantage of the chaos during the fire and escaped from the library in the dark
SAY.MainChart.238.,,宝石在大火中和成百上千的书一起，化作了灰烬。,The gem was turned into ashes in the fire along with hundreds of books
SAY.MainChart.243.,,小偷摘下了宝石，并用它在赌场赢了一大笔钱后，输给了对家。,The thief took the gem and used it to win a large sum of money in the casino before losing to the opponent
SAY.MainChart.244.,,护士趁着着火时的一片混乱，摸黑逃出了图书馆。,The nurse took advantage of the chaos during the fire and escaped from the library in the dark
SAY.MainChart.199.,,小偷摘下了宝石，并用它在赌场赢了一大笔钱后，输给了对家。,The thief took the gem and used it to win a large sum of money in the casino before losing to the opponent
SAY.MainChart.201.,,可怜的护士，等待她的是更可怕的明天和无止的暴打。,Poor nurse
MENU.MainChart.173,,BE G1,
MENU.MainChart.174,,BE N2,
MENU.MainChart.175,,BE T3,
MENU.MainChart.176,,BE N4,
MENU.MainChart.171,,HE T1,
MENU.MainChart.172,,HE T2,
MENU.MainChart.177,,TE,
SAY.MainChart.185.,,好的,ok
SAY.MainChart.192.,,接下来，在做出重要选择的时刻，我会给你提示,Next time you make crucial decisions I will help you
MENU.MainChart.215,,重新开始,Restart
MENU.MainChart.217,,不，就到这吧,No
MENU.MainChart.289,,给我一些提示,Give me some hint!
MENU.MainChart.291,,All the endings,
SAY.MainChart.220.,,在这个游戏中，你做了<b>{$Count}次选择</b>,In this game
SAY.MainChart.221.,,你的命运,Your destiny 
SAY.MainChart.277.,,也在这里交织了,is also intertwined here
SAY.MainChart.258.,,这是你第{$Playtime}次尝试, You have tried {$Playtime} times
SAY.MainChart.259.,,你是否需要额外的帮助呢,Do you need extra help
MENU.MainChart.260,,需要,Yes
MENU.MainChart.261,,不需要,No
MENU.MainChart.264,,开始,Start
MENU.MainChart.266,,快速通道,x_x
SAY.MainChart.283.克洛托,,可以给你一些提示,I can give you some hints
MENU.MainChart.288,,Option Text,
SAY.MainChart.286.克洛托,,或许你可以试着帮助护士，她会保护宝石,Maybe you can try to help the nurse--she will protect the gem
MENU.MainChart.290,,重新开始,Restart
SAY.Nurse.16.护士,,咳咳咳...,Oh
SAY.Nurse.22.护士,,身上的淤青还有些疼,The bruise on my body is still a bit painful
SAY.Nurse.39.护士,,房间里空空如也， 能搜的都被洗劫一了。,The room was empty
SAY.Nurse.174.护士,,这个家伙好像生病了，或是中了毒,This guy seems to be sick or poisoned
SAY.Nurse.173.护士,,他进来了！,He came in!
MENU.Nurse.48,,按兵不动,Stand still
MENU.Nurse.49,,在门后偷袭,Sneak attack behind the door
SAY.Nurse.77.,,声音引来了楼下其他的守卫，又将我揍了一顿，我的伤更重了。,The sound drew other guards downstairs--Oh no!
SAY.Nurse.74.,,他摔倒了！,He fell to the floor
SAY.Nurse.68.护士,,我所知道的可行的出口只有一层的后门。,The only possible exit I know is a back door
SAY.Nurse.70.护士,,但是如果从唯一的楼梯走，需要绕道对面，很有可能中途被发现。,But if I go downdtairs from the opposite side
SAY.Nurse.69.护士,,我应该如何选择——,What should I do
MENU.Nurse.66,,从二楼跳下,Jumped down
MENU.Nurse.67,,绕道去楼梯,Detour to the stairs
SAY.Nurse.61.护士,,"""砰——"" 我重重地撞在了什么东西上。",Bang—I hit something hard
SAY.Nurse.63.护士,,我无法确定，什么时候守卫会朝这边走来，甚至是走上楼梯。,I'm not sure when the guards will step here
SAY.Nurse.64.护士,,我陷入了进退两难。,I'm in a dilemma
SAY.Nurse.238.护士,,再不走可能就被打得没命了。走你——,I might be in danger if I don't leave. Fire in the hole
SAY.Nurse.84.护士,,不能让他发出声音，引来其他守卫。,Don’t let him make a sound to attract other guards
SAY.Nurse.164.护士,,我集中用力击打他的要害，他终于晕了过去,I hit his vitals and he finally fainted
SAY.Nurse.165.护士,,翻了翻这个家伙的外套，从口袋里找到一个打火机。,I flipped through this guy’s jacket and found a lighter in his pocket
SAY.Nurse.88.,,几分钟后——,After a few minutes
SAY.Nurse.86.护士,,我要找个能走的出口。,I'm looking for a way to go
SAY.Nurse.233.护士,,他们似乎发现了什么，在看着吊灯？,They seem to find something
SAY.Nurse.235.护士,,趁他们转移了注意力，我可以溜了。,I can slip away while they are distracted
SAY.Nurse.234.护士,,好重的酒味。,Smells like alcohol
SAY.Nurse.236.护士,,如果能点燃，就能制造混乱，趁机离开。,If it can be ignited
SAY.Nurse.237.护士,,我实在不忍心让这些藏书消失在火海，还是算了吧。,I really can’t bear to let these books disappear into the fire
SAY.Nurse.171.,,趴在门口，你从门下方的缝看到一双守卫的皮靴。,You see a pair of guard boots from the seam under the door
SAY.Nurse.242.,,他晃晃悠悠地,He walked slowly
MENU.Nurse.175,,继续观察,keep an eye on
SAY.Nurse.214.,,等待了几分钟。,Wait a few minutes
SAY.Nurse.217.不重要的守卫 B,,嘿，你们看上面，好像有什么东西在发光。,Hey
SAY.Nurse.219.不重要的守卫 B,,难道是...{w=1s}是那块石头！,That's the gem
SAY.Nurse.220.,,守卫们蜂拥上了二楼。,The guards flocked to the second floor
SAY.Nurse.223.,,趁这个空挡，正好可以从后门溜出去。,Now I can just sneak out through the back door
SAY.Nurse.221.,,{w=1s} 好像有个影子从楼上闪过。或许是看错了。,There seemed to be a shadow flashing upstairs. Maybe I'm dazzled
MENU.Nurse.202,,投掷打火机,Throw the lighter to the table
MENU.Nurse.203,,收起打火机,Put away the lighter
SAY.Nurse.246.护士,,我用双手撑住上半身，从地板上爬了起来,I supported my upper body with my hands and got up from the floor
SAY.Nurse.247.护士,,我被关在这里，都是因为有人想要得到一块宝石,I’m locked here because someone wants a gem
SAY.Nurse.249.护士,,据说它笼罩着神奇的蓝色光芒，像月光一样，传闻都说是无价之宝。,It is said that it emits a beautiful blue light--like moonlight. People think it is virtually priceless.
SAY.Nurse.251.护士,,这个图书馆本来属于我的上一任雇主。,This library originally belonged to my previous employer
SAY.Nurse.253.护士,,他去世之前，我是他的护士，也是他唯一能接触的朋友。,Before he passed away
SAY.Nurse.255.护士,,他的弟弟，一个铁公鸡，老恶棍在他病逝前软禁了他,His brother--a miser
SAY.Nurse.256.护士,,他以为去世前，老头子把藏宝地点告诉了我，甚至他怀疑就在我手里,He thought that before he died，the old man told me where the gem is hidden or even it has been given to me.
SAY.Nurse.257.护士,,我对什么宝石没有兴趣，我只想逃出这里,I am not interested in any gems. I just want to escape here
MENU.Nurse.270,,检查门口,Check the door
MENU.Nurse.271,,检查房间,Check the room
SAY.Nurse.278.护士,,我感觉好像跳过了什么？,I feel like I skipped something
SAY.Nurse.281.护士,,我感觉好像跳过了什么？,I feel like I skipped something
SAY._CommandCopyBuffer.228.守卫,,有人传染给了她，而且他也是一个守卫。,
CHARACTER.,,,
CHARACTER.守卫,守卫,守卫,Guard
CHARACTER.Wife,,Wife,
CHARACTER.GEM,,GEM,Gem
CHARACTER.小偷,,小偷,Thief
CHARACTER.护士,,护士,Nurse
CHARACTER.Items,,Items,
CHARACTER.Mr Neilson,内尔森，宝石的主人,Mr Neilson,
CHARACTER.Neison,,Neison,
CHARACTER.不重要的守卫 B,和守卫聊天的路人,不重要的守卫 B,
CHARACTER.Lady Lily,"A young woman, rich, ",Lady Lily,
CHARACTER.Fred,抢了功劳，与守卫妻子偷情的家伙,Fred,
CHARACTER.克洛托,,克洛托,Clotho
